time_tag,active,source,x_gse,y_gse,z_gse
2016-02-05 03:00:00.000,1,ACE,1441428,-235986,-25512
2016-02-05 04:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 05:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 06:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 07:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 08:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 09:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 10:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 11:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 12:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 13:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 14:00:00.000,1,ACE,1435050,-235986,-25512
2016-02-05 15:00:00.000,1,ACE,1435050,-235986,-31890
2016-02-05 16:00:00.000,1,ACE,1435050,-235986,-31890
2016-02-05 17:00:00.000,1,ACE,1435050,-235986,-31890
2016-02-05 18:00:00.000,1,ACE,1435050,-235986,-31890
2016-02-05 19:00:00.000,1,ACE,1435050,-235986,-31890
2016-02-05 20:00:00.000,1,ACE,1435050,-235986,-31890
2016-02-05 21:00:00.000,1,ACE,1435050,-235986,-31890
